Customer ID,Age,Gender,City,Country,Customer Acquisition Channel,Registration Date
CUST0001,33,Female,Hannover,Germany,Paid Search,2024-06-08
CUST0002,34,Female,The Hague,Netherlands,Google Ads,2025-10-09
CUST0003,58,Male,Nuremberg,Germany,Paid Search,2024-05-20
CUST0004,62,Male,Düsseldorf,Germany,Instagram,2023-06-10
CUST0005,34,Female,Salzburg,Austria,Facebook,2024-03-29
CUST0006,18,Male,Hannover,Germany,Direct,2024-05-10
CUST0007,48,Female,Innsbruck,Austria,Google Ads,2024-07-29
CUST0008,62,Male,Eindhoven,Netherlands,Paid Search,2025-05-24
CUST0009,32,Male,Ghent,Belgium,Google Ads,2023-01-06
CUST0010,22,Female,The Hague,Netherlands,Direct,2024-10-20
CUST0011,23,Male,Stuttgart,Germany,Instagram,2023-05-02
CUST0012,25,Female,Bremen,Germany,Influencer,2025-06-20
CUST0013,27,Male,Frankfurt,Germany,Paid Search,2023-07-09
CUST0014,27,Male,Cologne,Germany,Instagram,2025-08-14
CUST0015,47,Female,Tilburg,Netherlands,Instagram,2023-09-21
CUST0016,22,Female,Haarlem,Netherlands,Influencer,2023-08-02
CUST0017,20,Male,Cologne,Germany,Organic Search,2024-12-13
CUST0018,28,Female,Innsbruck,Austria,Google Ads,2023-07-23
CUST0019,36,Male,Linz,Austria,Email,2023-03-27
CUST0020,34,Female,Dortmund,Germany,Paid Search,2024-05-15
CUST0021,24,Male,Vienna,Austria,Referral,2025-06-28
CUST0022,44,Female,Eindhoven,Netherlands,Organic Search,2024-09-02
CUST0023,34,Female,Graz,Austria,Email,2025-01-14
CUST0024,29,Male,Nuremberg,Germany,Paid Search,2024-09-20
CUST0025,30,Female,Ghent,Belgium,Organic Search,2024-08-12
CUST0026,52,Male,Nuremberg,Germany,Paid Search,2023-06-01
CUST0027,29,Female,Leuven,Belgium,Organic Search,2025-06-30
CUST0028,32,Female,Graz,Austria,Organic Search,2025-11-26
CUST0029,31,Female,Frankfurt,Germany,Email,2025-01-10
CUST0030,33,Male,Berlin,Germany,Referral,2023-03-08
CUST0031,32,Male,Tilburg,Netherlands,Influencer,2025-12-15
CUST0032,31,Female,The Hague,Netherlands,Referral,2024-03-08
CUST0033,27,Male,Amsterdam,Netherlands,Referral,2024-04-17
CUST0034,45,Male,Hannover,Germany,Email,2024-08-02
CUST0035,31,Male,Frankfurt,Germany,Email,2023-06-16
CUST0036,30,Male,Berlin,Germany,Paid Search,2023-06-21
CUST0037,32,Female,Leipzig,Germany,Paid Search,2024-05-09
CUST0038,32,Male,Bruges,Belgium,Organic Search,2024-05-18
CUST0039,31,Male,Stuttgart,Germany,Instagram,2025-07-10
CUST0040,30,Male,Leipzig,Germany,Organic Search,2024-12-17
CUST0041,33,Male,Munich,Germany,Organic Search,2024-02-27
CUST0042,34,Female,Nuremberg,Germany,Email,2025-08-20
CUST0043,46,Female,Utrecht,Netherlands,Facebook,2025-01-14
CUST0044,46,Female,The Hague,Netherlands,Email,2024-02-16
CUST0045,27,Female,Antwerp,Belgium,Google Ads,2023-04-14
CUST0046,56,Female,Brussels,Belgium,Direct,2023-05-06
CUST0047,45,Male,Antwerp,Belgium,Organic Search,2023-08-07
CUST0048,28,Male,Liège,Belgium,Referral,2024-06-17
CUST0049,35,Female,Nuremberg,Germany,Paid Search,2023-08-16
CUST0050,35,Female,Nuremberg,Germany,Organic Search,2025-02-15
CUST0051,32,Male,Bremen,Germany,Google Ads,2024-11-24
CUST0052,58,Male,Salzburg,Austria,Google Ads,2023-01-22
CUST0053,32,Male,Cologne,Germany,Paid Search,2023-02-24
CUST0054,22,Male,Eindhoven,Netherlands,Google Ads,2025-09-02
CUST0055,23,Other / Prefer not to say,Tilburg,Netherlands,Email,2025-10-09
CUST0056,22,Female,Bremen,Germany,Direct,2025-04-06
CUST0057,38,Female,Nuremberg,Germany,Instagram,2025-03-28
CUST0058,28,Other / Prefer not to say,Nuremberg,Germany,Instagram,2025-11-18
CUST0059,34,Female,Cologne,Germany,Instagram,2023-02-05
CUST0060,32,Female,Klagenfurt,Austria,Paid Search,2023-01-08
CUST0061,37,Other / Prefer not to say,Amsterdam,Netherlands,Organic Search,2024-06-25
CUST0062,19,Female,Nuremberg,Germany,Email,2023-02-22
CUST0063,51,Female,Salzburg,Austria,Instagram,2023-01-26
CUST0064,23,Female,Salzburg,Austria,Organic Search,2023-12-22
CUST0065,40,Female,Antwerp,Belgium,Google Ads,2025-04-19
CUST0066,35,Female,Antwerp,Belgium,Facebook,2023-09-24
CUST0067,58,Male,Bremen,Germany,Direct,2024-01-09
CUST0068,30,Male,Berlin,Germany,Instagram,2024-11-23
CUST0069,32,Female,Dortmund,Germany,Direct,2025-08-16
CUST0070,26,Male,Nuremberg,Germany,Direct,2024-11-03
CUST0071,25,Female,Nuremberg,Germany,Organic Search,2025-04-10
CUST0072,22,Male,Cologne,Germany,Paid Search,2025-06-17
CUST0073,44,Female,Berlin,Germany,Instagram,2024-06-09
CUST0074,44,Female,Düsseldorf,Germany,Paid Search,2023-07-17
CUST0075,26,Female,Vienna,Austria,Google Ads,2023-09-16
CUST0076,29,Male,Hannover,Germany,Instagram,2023-07-18
CUST0077,21,Male,The Hague,Netherlands,Direct,2025-11-28
CUST0078,41,Female,Antwerp,Belgium,Organic Search,2025-02-13
CUST0079,21,Female,Tilburg,Netherlands,Google Ads,2024-10-08
CUST0080,36,Female,Bremen,Germany,Organic Search,2025-09-24
CUST0081,36,Male,Nuremberg,Germany,Organic Search,2023-05-09
CUST0082,24,Female,Bremen,Germany,Influencer,2025-07-13
CUST0083,31,Male,Salzburg,Austria,Paid Search,2023-04-28
