Customer ID,Order ID,SKU ID,Return Date,Return Quantity
CUST0160,000002,P0350,2023-01-08,1
CUST0009,000008,P0330,2023-01-12,1
CUST0060,000011,P0410,2023-01-12,2
CUST0296,000003,P0268,2023-01-17,1
CUST0060,000011,P0158,2023-01-17,1
CUST0860,000007,P0207,2023-01-19,1
CUST0860,000027,P0223,2023-01-19,1
CUST0622,000032,P0283,2023-01-20,1
CUST0674,000013,P0362,2023-01-21,1
CUST0762,000026,P0245,2023-01-22,5
CUST0296,000005,P0236,2023-01-24,1
CUST0674,000013,P0178,2023-01-25,1
CUST0674,000013,P0293,2023-01-25,1
CUST0296,000022,P0233,2023-01-25,1
CUST0279,000029,P0396,2023-01-25,1
CUST0543,000041,P0145,2023-01-25,1
CUST0622,000032,P0158,2023-01-26,1
CUST0327,000018,P0365,2023-01-28,1
CUST0848,000033,P0267,2023-01-30,1
CUST0296,000046,P0135,2023-01-30,1
CUST0935,000028,P0071,2023-02-02,1
CUST0009,000020,P0120,2023-02-03,1
CUST0052,000038,P0419,2023-02-03,1
CUST0927,000045,P0074,2023-02-03,1
CUST0063,000044,P0122,2023-02-04,1
CUST0860,000027,P0395,2023-02-09,1
CUST0063,000044,P0135,2023-02-11,1
CUST0059,000059,P0237,2023-02-14,1
CUST0123,000062,P0388,2023-02-15,1
CUST0123,000062,P0038,2023-02-18,1
CUST0674,000063,P0277,2023-02-18,1
CUST0860,000051,P0068,2023-02-19,2
CUST0123,000062,P0437,2023-02-21,1
CUST0962,000068,P0350,2023-02-22,1
CUST0558,000049,P0217,2023-02-23,1
CUST0949,000066,P0074,2023-03-03,1
CUST0901,000076,P0192,2023-03-07,1
CUST0901,000080,P0069,2023-03-08,1
CUST0757,000083,P0226,2023-03-09,1
CUST0246,000088,P0186,2023-03-09,1
CUST0246,000075,P0004,2023-03-10,1
CUST0246,000075,P0158,2023-03-11,1
CUST0246,000088,P0123,2023-03-11,1
CUST0523,000082,P0082,2023-03-12,1
CUST0696,000079,P0047,2023-03-14,3
CUST0523,000082,P0051,2023-03-14,1
CUST0650,000087,P0139,2023-03-15,1
CUST0246,000088,P0122,2023-03-15,1
CUST0547,000094,P0359,2023-03-15,1
CUST0674,000097,P0405,2023-03-15,1
CUST0879,000100,P0329,2023-03-18,1
CUST0296,000102,P0288,2023-03-20,3
CUST0296,000098,P0262,2023-03-21,1
CUST0053,000074,P0245,2023-03-23,1
CUST0547,000094,P0361,2023-03-23,1
CUST0879,000100,P0030,2023-03-23,1
CUST0246,000075,P0371,2023-03-24,1
CUST0955,000109,P0340,2023-03-24,1
CUST0674,000116,P0056,2023-03-24,1
CUST0680,000089,P0154,2023-03-25,1
CUST0757,000083,P0476,2023-03-26,1
CUST0427,000115,P0119,2023-03-26,1
CUST0597,000084,P0336,2023-03-28,1
CUST0009,000121,P0331,2023-03-28,5
CUST0296,000098,P0247,2023-03-30,1
CUST0523,000108,P0211,2023-03-31,1
CUST0280,000110,P0416,2023-03-31,1
CUST0811,000126,P0395,2023-03-31,1
CUST0674,000116,P0158,2023-04-02,1
CUST0732,000090,P0036,2023-04-03,1
CUST0949,000128,P0149,2023-04-04,1
CUST0674,000132,P0028,2023-04-04,1
CUST0860,000133,P0207,2023-04-05,1
CUST0477,000104,P0358,2023-04-06,1
CUST0670,000131,P0371,2023-04-10,1
CUST0722,000137,P0243,2023-04-10,1
CUST0674,000132,P0408,2023-04-11,1
CUST0773,000135,P0141,2023-04-11,1
CUST0979,000138,P0260,2023-04-11,2
CUST0901,000136,P0340,2023-04-12,1
CUST0523,000108,P0162,2023-04-13,2
CUST0722,000137,P0279,2023-04-13,1
CUST0696,000142,P0210,2023-04-14,1
CUST0722,000137,P0082,2023-04-15,1
CUST0606,000143,P0236,2023-04-16,1
CUST0448,000122,P0056,2023-04-17,1
CUST0549,000124,P0137,2023-04-17,1
CUST0670,000131,P0271,2023-04-17,1
CUST0523,000144,P0042,2023-04-17,1
CUST0246,000127,P0266,2023-04-18,1
CUST0606,000143,P0247,2023-04-19,1
CUST0045,000148,P0007,2023-04-19,1
CUST0670,000131,P0402,2023-04-22,1
CUST0558,000150,P0197,2023-04-22,1
CUST0398,000155,P0269,2023-04-22,1
CUST0189,000154,P0208,2023-04-25,1
CUST0640,000140,P0191,2023-04-27,1
CUST0558,000150,P0149,2023-04-27,1
CUST0189,000154,P0251,2023-04-27,1
CUST0606,000143,P0300,2023-04-28,1
CUST0189,000154,P0204,2023-04-28,1
CUST0670,000131,P0176,2023-04-30,1
CUST0160,000139,P0230,2023-05-01,2
CUST0558,000150,P0030,2023-05-01,2
CUST0083,000166,P0290,2023-05-01,1
CUST0062,000159,P0495,2023-05-02,1
CUST0811,000161,P0207,2023-05-02,1
CUST0879,000165,P0268,2023-05-03,1
CUST0398,000168,P0241,2023-05-03,1
CUST0949,000171,P0059,2023-05-04,3
CUST0457,000174,P0149,2023-05-04,1
CUST0398,000168,P0277,2023-05-05,1
CUST0398,000168,P0228,2023-05-05,1
CUST0949,000171,P0092,2023-05-05,1
CUST0011,000175,P0346,2023-05-05,3
CUST0979,000138,P0236,2023-05-06,1
CUST0606,000143,P0265,2023-05-06,1
CUST0062,000159,P0313,2023-05-06,1
CUST0457,000174,P0154,2023-05-06,4
CUST0696,000142,P0030,2023-05-07,1
CUST0355,000176,P0198,2023-05-07,1
CUST0920,000177,P0299,2023-05-08,1
CUST0464,000164,P0072,2023-05-12,1
CUST0355,000176,P0306,2023-05-12,1
CUST0355,000176,P0176,2023-05-12,1
CUST0189,000154,P0230,2023-05-17,2
CUST0623,000160,P0330,2023-05-17,1
CUST0081,000187,P0354,2023-05-17,1
CUST0560,000188,P0160,2023-05-17,1
CUST0398,000168,P0135,2023-05-18,1
CUST0445,000169,P0497,2023-05-18,1
CUST0860,000170,P0024,2023-05-18,2
CUST0046,000180,P0348,2023-05-18,1
CUST0554,000193,P0330,2023-05-18,1
CUST0811,000161,P0265,2023-05-21,1
CUST0920,000177,P0266,2023-05-21,1
CUST0650,000158,P0457,2023-05-22,1
CUST0811,000161,P0241,2023-05-22,1
CUST0220,000206,P0355,2023-05-23,2
CUST0123,000162,P0190,2023-05-24,1
CUST0920,000177,P0210,2023-05-25,1
CUST0927,000195,P0250,2023-05-25,1
CUST0949,000171,P0352,2023-05-26,1
CUST0340,000208,P0160,2023-05-28,1
CUST0382,000228,P0333,2023-05-29,1
CUST0626,000199,P0130,2023-05-30,1
CUST0388,000231,P0071,2023-05-31,1
CUST0259,000190,P0178,2023-06-01,1
CUST0826,000201,P0061,2023-06-01,1
CUST0388,000231,P0110,2023-06-01,1
CUST0081,000187,P0327,2023-06-02,1
CUST0123,000226,P0043,2023-06-02,1
CUST0160,000227,P0315,2023-06-02,1
CUST0246,000237,P0310,2023-06-03,1
CUST0486,000192,P0268,2023-06-04,1
CUST0123,000226,P0488,2023-06-04,1
CUST0674,000245,P0336,2023-06-06,1
CUST0399,000215,P0340,2023-06-08,2
CUST0160,000227,P0029,2023-06-08,1
CUST0984,000202,P0048,2023-06-09,2
CUST0912,000241,P0345,2023-06-09,1
CUST0388,000231,P0003,2023-06-10,1
CUST0622,000247,P0244,2023-06-10,1
CUST0388,000231,P0022,2023-06-11,2
CUST0326,000239,P0476,2023-06-11,1
CUST0736,000230,P0308,2023-06-12,1
CUST0296,000243,P0259,2023-06-12,1
CUST0674,000245,P0394,2023-06-12,1
CUST0622,000247,P0072,2023-06-12,1
CUST0670,000248,P0308,2023-06-12,2
CUST0123,000226,P0114,2023-06-13,1
CUST0160,000227,P0112,2023-06-13,1
CUST0670,000248,P0352,2023-06-13,1
CUST0026,000242,P0285,2023-06-14,1
CUST0220,000257,P0158,2023-06-14,1
CUST0912,000241,P0135,2023-06-16,1
CUST0912,000241,P0372,2023-06-16,1
CUST0004,000259,P0226,2023-06-17,1
CUST0955,000260,P0251,2023-06-17,1
CUST0821,000267,P0310,2023-06-17,1
CUST0912,000258,P0047,2023-06-18,1
CUST0955,000260,P0250,2023-06-18,1
CUST0484,000252,P0313,2023-06-20,1
CUST0798,000263,P0263,2023-06-20,1
CUST0035,000272,P0071,2023-06-22,1
CUST0799,000274,P0100,2023-06-22,1
CUST0386,000282,P0131,2023-06-22,1
CUST0326,000239,P0379,2023-06-24,1
CUST0326,000239,P0494,2023-06-25,1
CUST0735,000277,P0038,2023-06-25,1
CUST0649,000234,P0159,2023-06-26,1
CUST0114,000279,P0007,2023-06-27,1
CUST0551,000287,P0363,2023-06-27,1
CUST0026,000242,P0230,2023-06-28,1
CUST0982,000285,P0265,2023-06-28,1
CUST0283,000299,P0230,2023-06-28,1
CUST0114,000279,P0380,2023-06-29,1
CUST0398,000295,P0238,2023-06-29,1
CUST0643,000301,P0122,2023-06-29,1
CUST0318,000262,P0047,2023-07-01,1
CUST0955,000260,P0233,2023-07-02,1
CUST0486,000276,P0121,2023-07-03,1
CUST0327,000281,P0226,2023-07-04,1
CUST0301,000300,P0382,2023-07-04,1
CUST0848,000313,P0006,2023-07-04,2
CUST0982,000315,P0202,2023-07-04,1
CUST0686,000302,P0246,2023-07-05,1
CUST0248,000309,P0108,2023-07-05,2
CUST0541,000318,P0029,2023-07-05,1
CUST0541,000322,P0352,2023-07-05,1
CUST0318,000262,P0250,2023-07-06,1
CUST0551,000287,P0299,2023-07-07,1
CUST0523,000331,P0376,2023-07-07,1
CUST0123,000334,P0004,2023-07-07,1
CUST0863,000297,P0031,2023-07-08,1
CUST0652,000323,P0322,2023-07-08,1
CUST0422,000342,P0395,2023-07-08,1
CUST0982,000285,P0069,2023-07-09,1
CUST0735,000288,P0125,2023-07-09,1
CUST0422,000342,P0341,2023-07-09,1
CUST0114,000279,P0246,2023-07-10,1
CUST0523,000317,P0124,2023-07-10,1
CUST0949,000340,P0047,2023-07-10,2
CUST0879,000347,P0209,2023-07-10,1
CUST0009,000268,P0112,2023-07-11,1
CUST0863,000275,P0161,2023-07-12,1
CUST0114,000279,P0118,2023-07-12,1
CUST0686,000302,P0245,2023-07-12,1
CUST0060,000307,P0198,2023-07-12,1
CUST0283,000329,P0069,2023-07-12,1
CUST0362,000337,P0236,2023-07-12,1
CUST0480,000338,P0250,2023-07-12,1
CUST0979,000348,P0118,2023-07-12,1
CUST0422,000342,P0212,2023-07-13,1
CUST0696,000296,P0310,2023-07-14,1
CUST0803,000326,P0124,2023-07-14,1
CUST0477,000330,P0313,2023-07-14,1
CUST0541,000318,P0347,2023-07-15,1
CUST0013,000354,P0280,2023-07-15,1
CUST0145,000364,P0007,2023-07-15,1
CUST0651,000357,P0131,2023-07-17,1
CUST0134,000362,P0060,2023-07-17,3
CUST0305,000310,P0022,2023-07-18,3
CUST0386,000282,P0251,2023-07-19,1
CUST0315,000311,P0217,2023-07-19,1
CUST0848,000313,P0320,2023-07-19,1
CUST0674,000349,P0347,2023-07-19,1
CUST0673,000366,P0198,2023-07-19,1
CUST0879,000347,P0227,2023-07-20,1
CUST0074,000383,P0371,2023-07-20,1
CUST0979,000298,P0121,2023-07-21,1
CUST0366,000355,P0001,2023-07-21,1
CUST0252,000376,P0315,2023-07-21,1
CUST0735,000380,P0280,2023-07-21,1
CUST0845,000381,P0259,2023-07-22,1
CUST0074,000383,P0310,2023-07-22,1
CUST0293,000390,P0083,2023-07-22,1
CUST0011,000350,P0308,2023-07-23,1
CUST0845,000381,P0187,2023-07-23,2
CUST0696,000394,P0357,2023-07-25,2
CUST0689,000346,P0072,2023-07-26,1
CUST0901,000392,P0193,2023-07-26,1
CUST0901,000392,P0015,2023-07-26,1
CUST0523,000398,P0016,2023-07-26,1
CUST0306,000401,P0197,2023-07-26,1
CUST0651,000357,P0475,2023-07-27,3
CUST0706,000391,P0230,2023-07-27,2
CUST0626,000410,P0116,2023-07-27,1
CUST0901,000392,P0197,2023-07-28,1
CUST0860,000421,P0028,2023-07-28,1
CUST0845,000381,P0110,2023-07-30,2
CUST0246,000384,P0095,2023-07-30,2
CUST0540,000418,P0421,2023-07-30,2
CUST0114,000405,P0030,2023-08-02,1
CUST0155,000429,P0100,2023-08-02,1
CUST0523,000398,P0160,2023-08-03,1
CUST0898,000403,P0262,2023-08-03,1
CUST0892,000408,P0212,2023-08-03,1
CUST0706,000391,P0193,2023-08-04,1
CUST0845,000411,P0065,2023-08-04,1
CUST0732,000424,P0118,2023-08-04,1
CUST0145,000364,P0142,2023-08-07,1
CUST0901,000392,P0094,2023-08-07,1
CUST0879,000395,P0351,2023-08-07,1
CUST0246,000384,P0029,2023-08-08,1
CUST0398,000409,P0218,2023-08-08,1
CUST0114,000405,P0031,2023-08-09,1
CUST0540,000446,P0071,2023-08-09,1
CUST0246,000384,P0357,2023-08-10,1
CUST0511,000427,P0197,2023-08-10,1
CUST0892,000408,P0013,2023-08-11,1
CUST0892,000408,P0012,2023-08-12,1
CUST0892,000408,P0347,2023-08-12,1
CUST0879,000395,P0218,2023-08-13,1
CUST0906,000460,P0354,2023-08-13,1
CUST0280,000396,P0194,2023-08-14,1
CUST0898,000403,P0083,2023-08-14,1
CUST0725,000469,P0054,2023-08-14,1
CUST0550,000473,P0116,2023-08-14,1
CUST0540,000430,P0438,2023-08-16,1
CUST0725,000469,P0158,2023-08-16,1
